"Book"	"name"	"author"	"language"	"wikiLink"	"authorName"	"authorWikiLink"
"http://dbpedia.org/resource/The_Adventures_of_Three_Englishmen_and_Three_Russians_in_South_Africa"	"The Adventures of Three Russians and Three Englishmen in South Africa"	"http://dbpedia.org/resource/Jules_Verne"	"French"	"http://en.wikipedia.org/wiki/The_Adventures_of_Three_Englishmen_and_Three_Russians_in_South_Africa?oldid=564069086"	"Verne, Jules"	"http://en.wikipedia.org/wiki/Jules_Verne?oldid=606148464"
"http://dbpedia.org/resource/The_Adventures_of_Three_Englishmen_and_Three_Russians_in_South_Africa"	"Aventures de trois Russes et de trois Anglais dans l'Afrique australe"	"http://dbpedia.org/resource/Jules_Verne"	"French"	"http://en.wikipedia.org/wiki/The_Adventures_of_Three_Englishmen_and_Three_Russians_in_South_Africa?oldid=564069086"	"Verne, Jules"	"http://en.wikipedia.org/wiki/Jules_Verne?oldid=606148464"
"http://dbpedia.org/resource/The_Chronicles_of_Solar_Pons"	"The Chronicles of Solar Pons"	"http://dbpedia.org/resource/August_Derleth"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/The_Chronicles_of_Solar_Pons?oldid=586746657"	"August Derleth"	"http://en.wikipedia.org/wiki/August_Derleth?oldid=600967314"
"http://dbpedia.org/resource/The_Chronicles_of_Solar_Pons"	"The Chronicles of Solar Pons"	"http://dbpedia.org/resource/August_Derleth"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/The_Chronicles_of_Solar_Pons?oldid=586746657"	"Derleth, August"	"http://en.wikipedia.org/wiki/August_Derleth?oldid=600967314"
"http://dbpedia.org/resource/The_Franchise_Affair"	"The Franchise Affair"	"http://dbpedia.org/resource/Josephine_Tey"	"English"	"http://en.wikipedia.org/wiki/The_Franchise_Affair?oldid=588544914"	"Tey, Josephine"	"http://en.wikipedia.org/wiki/Josephine_Tey?oldid=606473110"
"http://dbpedia.org/resource/The_Franchise_Affair"	"The Franchise Affair"	"http://dbpedia.org/resource/Josephine_Tey"	"English"	"http://en.wikipedia.org/wiki/The_Franchise_Affair?oldid=588544914"	"Josephine Tey"	"http://en.wikipedia.org/wiki/Josephine_Tey?oldid=606473110"
"http://dbpedia.org/resource/The_Lake_of_Darkness"	"The Lake of Darkness"	"http://dbpedia.org/resource/Ruth_Rendell"	"English"	"http://en.wikipedia.org/wiki/The_Lake_of_Darkness?oldid=593733036"	"(CBE)"	"http://en.wikipedia.org/wiki/Ruth_Rendell?oldid=605164033"
"http://dbpedia.org/resource/The_Lake_of_Darkness"	"The Lake of Darkness"	"http://dbpedia.org/resource/Ruth_Rendell"	"English"	"http://en.wikipedia.org/wiki/The_Lake_of_Darkness?oldid=593733036"	"(The Right Honourable)"	"http://en.wikipedia.org/wiki/Ruth_Rendell?oldid=605164033"
"http://dbpedia.org/resource/The_Lake_of_Darkness"	"The Lake of Darkness"	"http://dbpedia.org/resource/Ruth_Rendell"	"English"	"http://en.wikipedia.org/wiki/The_Lake_of_Darkness?oldid=593733036"	"Rendell, Ruth"	"http://en.wikipedia.org/wiki/Ruth_Rendell?oldid=605164033"
"http://dbpedia.org/resource/The_Lake_of_Darkness"	"The Lake of Darkness"	"http://dbpedia.org/resource/Ruth_Rendell"	"English"	"http://en.wikipedia.org/wiki/The_Lake_of_Darkness?oldid=593733036"	"Ruth Rendell"	"http://en.wikipedia.org/wiki/Ruth_Rendell?oldid=605164033"
"http://dbpedia.org/resource/The_Lake_of_Darkness"	"The Lake of Darkness"	"http://dbpedia.org/resource/Ruth_Rendell"	"English"	"http://en.wikipedia.org/wiki/The_Lake_of_Darkness?oldid=593733036"	"The Baroness Rendell of Babergh"	"http://en.wikipedia.org/wiki/Ruth_Rendell?oldid=605164033"
"http://dbpedia.org/resource/The_Prague_Cemetery"	"The Prague Cemetery"	"http://dbpedia.org/resource/Umberto_Eco"	"http://dbpedia.org/resource/Italian_language"	"http://en.wikipedia.org/wiki/The_Prague_Cemetery?oldid=602209845"	"Eco, Umberto"	"http://en.wikipedia.org/wiki/Umberto_Eco?oldid=606615753"
"http://dbpedia.org/resource/The_Prague_Cemetery"	"Il cimitero di Praga"	"http://dbpedia.org/resource/Umberto_Eco"	"http://dbpedia.org/resource/Italian_language"	"http://en.wikipedia.org/wiki/The_Prague_Cemetery?oldid=602209845"	"Eco, Umberto"	"http://en.wikipedia.org/wiki/Umberto_Eco?oldid=606615753"
"http://dbpedia.org/resource/The_Prague_Cemetery"	"The Prague Cemetery"	"http://dbpedia.org/resource/Umberto_Eco"	"http://dbpedia.org/resource/Italian_language"	"http://en.wikipedia.org/wiki/The_Prague_Cemetery?oldid=602209845"	"Umberto Eco"	"http://en.wikipedia.org/wiki/Umberto_Eco?oldid=606615753"
"http://dbpedia.org/resource/The_Prague_Cemetery"	"Il cimitero di Praga"	"http://dbpedia.org/resource/Umberto_Eco"	"http://dbpedia.org/resource/Italian_language"	"http://en.wikipedia.org/wiki/The_Prague_Cemetery?oldid=602209845"	"Umberto Eco"	"http://en.wikipedia.org/wiki/Umberto_Eco?oldid=606615753"
"http://dbpedia.org/resource/Who_Wrote_The_Dead_Sea_Scrolls%3F"	"Who Wrote The Dead Sea Scrolls?: The Search For The Secret Of Qumran"	"http://dbpedia.org/resource/Norman_Golb"	"English"	"http://en.wikipedia.org/wiki/Who_Wrote_The_Dead_Sea_Scrolls%3F?oldid=598321411"	"Norman Golb"	"http://en.wikipedia.org/wiki/Norman_Golb?oldid=593539683"
"http://dbpedia.org/resource/Who_Wrote_The_Dead_Sea_Scrolls%3F"	"Who Wrote The Dead Sea Scrolls?: The Search For The Secret Of Qumran"	"http://dbpedia.org/resource/Norman_Golb"	"English"	"http://en.wikipedia.org/wiki/Who_Wrote_The_Dead_Sea_Scrolls%3F?oldid=598321411"	"Golb, Norman"	"http://en.wikipedia.org/wiki/Norman_Golb?oldid=593539683"
"http://dbpedia.org/resource/Winter_of_the_World"	"Winter of the World"	"http://dbpedia.org/resource/Ken_Follett"	"English"	"http://en.wikipedia.org/wiki/Winter_of_the_World?oldid=606807707"	"Follet, Ken"	"http://en.wikipedia.org/wiki/Ken_Follett?oldid=606463185"
"http://dbpedia.org/resource/Winter_of_the_World"	"Winter of the World"	"http://dbpedia.org/resource/Ken_Follett"	"English"	"http://en.wikipedia.org/wiki/Winter_of_the_World?oldid=606807707"	"Ken Follett"	"http://en.wikipedia.org/wiki/Ken_Follett?oldid=606463185"
"http://dbpedia.org/resource/Winter_of_the_World"	"Winter of the World"	"http://dbpedia.org/resource/Ken_Follett"	"English"	"http://en.wikipedia.org/wiki/Winter_of_the_World?oldid=606807707"	"Ken Follet"	"http://en.wikipedia.org/wiki/Ken_Follett?oldid=606463185"
"http://dbpedia.org/resource/A_Gift_from_Earth"	"A Gift From Earth"	"http://dbpedia.org/resource/Larry_Niven"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/A_Gift_from_Earth?oldid=590493124"	"Larry Niven"	"http://en.wikipedia.org/wiki/Larry_Niven?oldid=602951686"
"http://dbpedia.org/resource/A_Gift_from_Earth"	"A Gift From Earth"	"http://dbpedia.org/resource/Larry_Niven"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/A_Gift_from_Earth?oldid=590493124"	"Niven, Larry"	"http://en.wikipedia.org/wiki/Larry_Niven?oldid=602951686"
"http://dbpedia.org/resource/A_Graveyard_to_Let"	"A Graveyard To Let"	"http://dbpedia.org/resource/John_Dickson_Carr"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/A_Graveyard_to_Let?oldid=590818684"	"Carr, John Dickson"	"http://en.wikipedia.org/wiki/John_Dickson_Carr?oldid=604492185"
"http://dbpedia.org/resource/A_Graveyard_to_Let"	"A Graveyard To Let"	"http://dbpedia.org/resource/John_Dickson_Carr"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/A_Graveyard_to_Let?oldid=590818684"	"John Dickson Carr"	"http://en.wikipedia.org/wiki/John_Dickson_Carr?oldid=604492185"
"http://dbpedia.org/resource/A_History_of_the_Life_and_Voyages_of_Christopher_Columbus"	"A History of the Life and Voyages of Christopher Columbus"	"http://dbpedia.org/resource/Washington_Irving"	"http://dbpedia.org/resource/English_language"	"http://en.wikipedia.org/wiki/A_History_of_the_Life_and_Voyages_of_Christopher_Columbus?oldid=596318788"	"Washington Irving"	"http://en.wikipedia.org/wiki/Washington_Irving?oldid=602593210"
